                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.40504,                 0.5738,                 0.2246,                0.94682,                0.97689,                   0.98,                0.99286,                0.95183,                0.97689,                   0.98,                0.99286,                0.95936,                0.34175,                0.47554,                0.22578,                0.91364,              0.0006536,              0.0006536,              0.0006536
                     71,                0.40013,                0.57967,                0.22604,                0.94526,                0.99968,                  0.995,                  0.995,                0.96238,                0.99968,                  0.995,                  0.995,                0.96502,                0.33314,                0.46488,                0.17361,                0.90904,              0.0006338,              0.0006338,              0.0006338
                     72,                0.40411,                0.58967,                0.22872,                0.94505,                 0.9997,                   0.99,                0.99495,                0.96238,                 0.9997,                   0.99,                0.99495,                  0.964,                0.34621,                0.50276,                0.17493,                0.92347,               0.000614,               0.000614,               0.000614
                     73,                0.40165,                0.57988,                0.22474,                0.94303,                0.99956,                   0.99,                 0.9949,                 0.9588,                0.99956,                   0.99,                 0.9949,                0.96169,                0.33495,                0.48942,                0.18357,                 0.9109,              0.0005942,              0.0005942,              0.0005942
                     74,                0.40637,                 0.5846,                0.22651,                0.94592,                 0.9995,                  0.995,                  0.995,                0.96521,                 0.9995,                  0.995,                  0.995,                0.96329,                0.33162,                0.49222,                0.16215,                0.91185,              0.0005744,              0.0005744,              0.0005744
                     75,                0.39969,                0.58178,                0.22193,                0.94102,                0.99461,                  0.995,                0.99495,                0.95786,                0.99461,                  0.995,                0.99495,                0.96672,                0.33905,                0.48158,                0.16557,                0.91266,              0.0005546,              0.0005546,              0.0005546
                     76,                0.40332,                0.58172,                0.22599,                0.94521,                      1,                0.98856,                0.99495,                0.96084,                      1,                0.98856,                0.99495,                0.95861,                  0.333,                0.50301,                0.17904,                0.90636,              0.0005348,              0.0005348,              0.0005348
                     77,                0.39665,                0.57129,                0.22129,                0.94139,                0.99933,                   0.99,                0.99485,                0.96266,                0.99933,                   0.99,                0.99485,                0.96764,                0.32932,                0.49032,                0.18597,                0.90473,               0.000515,               0.000515,               0.000515
                     78,                 0.3984,                0.57232,                0.22261,                0.94093,                0.99962,                   0.99,                0.99485,                0.96477,                0.99962,                   0.99,                0.99485,                0.96865,                 0.3258,                0.49608,                0.18388,                0.90611,              0.0004952,              0.0004952,              0.0004952
                     79,                0.38917,                0.55452,                0.21472,                 0.9395,                      1,                0.98993,                0.99495,                0.95954,                      1,                0.98993,                0.99495,                0.96347,                0.32214,                0.49007,                0.17286,                0.90156,              0.0004754,              0.0004754,              0.0004754
                     80,                0.39053,                0.56329,                0.21787,                0.94042,                      1,                0.98861,                 0.9949,                0.95959,                      1,                0.98861,                 0.9949,                0.96983,                0.33035,                0.48771,                0.17232,                0.90645,              0.0004556,              0.0004556,              0.0004556
                     81,                0.39351,                 0.5758,                0.21917,                0.94081,                0.99978,                  0.995,                  0.995,                0.96492,                0.99978,                  0.995,                  0.995,                0.96822,                0.32592,                0.50001,                0.16618,                0.90327,              0.0004358,              0.0004358,              0.0004358
                     82,                0.38327,                0.56232,                0.21313,                0.93674,                0.99996,                  0.995,                  0.995,                0.96508,                0.99996,                  0.995,                  0.995,                0.96595,                0.32181,                 0.4962,                0.15812,                0.89507,               0.000416,               0.000416,               0.000416
                     83,                0.38377,                0.56489,                0.21447,                0.93495,                 0.9995,                  0.995,                  0.995,                0.96687,                 0.9995,                  0.995,                  0.995,                0.96991,                0.32642,                0.50483,                0.15905,                0.90309,              0.0003962,              0.0003962,              0.0003962
                     84,                0.38647,                 0.5628,                 0.2175,                0.94066,                0.99981,                  0.995,                  0.995,                0.96631,                0.99981,                  0.995,                  0.995,                 0.9651,                0.32179,                0.48301,                0.15664,                 0.8961,              0.0003764,              0.0003764,              0.0003764
                     85,                0.37746,                0.55555,                0.20871,                0.93646,                 0.9997,                  0.995,                  0.995,                0.96178,                 0.9997,                  0.995,                  0.995,                0.96549,                0.32536,                0.50432,                0.16087,                0.90273,              0.0003566,              0.0003566,              0.0003566
                     86,                0.38133,                0.56009,                0.21027,                0.93628,                0.99975,                  0.995,                  0.995,                0.96037,                0.99975,                  0.995,                  0.995,                0.96852,                0.32195,                0.50129,                0.16329,                0.90226,              0.0003368,              0.0003368,              0.0003368
                     87,                0.38394,                0.56009,                0.21323,                 0.9379,                 0.9997,                   0.99,                0.99495,                0.95863,                 0.9997,                   0.99,                0.99495,                0.96544,                0.33106,                0.50099,                0.16698,                0.90277,               0.000317,               0.000317,               0.000317
                     88,                0.37761,                0.54707,                0.20804,                0.93556,                0.99922,                  0.995,                  0.995,                0.96409,                0.99922,                  0.995,                  0.995,                0.96997,                0.32431,                0.51404,                0.15926,                0.90685,              0.0002972,              0.0002972,              0.0002972
                     89,                0.38143,                0.54872,                0.20487,                0.93822,                0.99973,                  0.995,                  0.995,                 0.9628,                0.99973,                  0.995,                  0.995,                0.97003,                0.33129,                0.50154,                0.16251,                 0.9142,              0.0002774,              0.0002774,              0.0002774
                     90,                0.37394,                0.54492,                0.20335,                0.93522,                      1,                 0.9947,                  0.995,                 0.9578,                      1,                 0.9947,                  0.995,                0.96408,                0.32942,                0.51066,                0.16339,                0.90797,              0.0002576,              0.0002576,              0.0002576
                     91,                0.23077,                 0.3589,                0.14559,                0.85656,                0.98931,                  0.995,                 0.9949,                0.95917,                0.98931,                  0.995,                 0.9949,                 0.9652,                0.33444,                0.49911,                0.17035,                0.91379,              0.0002378,              0.0002378,              0.0002378
                     92,                0.22012,                0.35014,                0.13025,                0.86334,                      1,                0.98926,                 0.9949,                0.96079,                      1,                0.98926,                 0.9949,                0.96617,                0.33162,                0.50122,                0.16478,                0.91172,               0.000218,               0.000218,               0.000218
                     93,                0.21583,                 0.3439,                0.12868,                0.85884,                0.99926,                   0.99,                0.99495,                0.95931,                0.99926,                   0.99,                0.99495,                0.96629,                0.31865,                0.51485,                0.15745,                0.90459,              0.0001982,              0.0001982,              0.0001982
                     94,                0.21536,                0.34438,                0.12921,                0.85245,                 0.9992,                   0.99,                0.99485,                0.95777,                 0.9992,                   0.99,                0.99485,                0.96749,                0.31494,                0.52194,                0.16072,                0.89987,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2076,                0.33948,                0.12404,                0.85204,                      1,                0.99464,                  0.995,                0.95897,                      1,                0.99464,                  0.995,                0.96356,                 0.3197,                0.51494,                 0.1586,                0.90352,              0.0001586,              0.0001586,              0.0001586
                     96,                0.20686,                0.33787,                0.12191,                 0.8534,                      1,                0.99461,                  0.995,                0.96125,                      1,                0.99461,                  0.995,                0.96005,                0.31699,                 0.5213,                0.15442,                0.89839,              0.0001388,              0.0001388,              0.0001388
                     97,                0.20321,                0.33273,                0.12233,                0.84654,                0.99499,                  0.995,                0.99495,                 0.9621,                0.99499,                  0.995,                0.99495,                0.96724,                0.31525,                0.51609,                0.15956,                0.89677,               0.000119,               0.000119,               0.000119
                     98,                0.20096,                0.33236,                0.11761,                  0.847,                  0.995,                0.99483,                0.99495,                0.95832,                  0.995,                0.99483,                0.99495,                0.96433,                0.31323,                0.51534,                 0.1555,                0.89616,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.19901,                 0.3305,                0.11788,                0.84855,                  0.995,                0.99496,                0.99495,                0.96318,                  0.995,                0.99496,                0.99495,                0.96679,                0.31408,                0.52147,                0.15775,                0.89705,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.19696,                0.33169,                0.11945,                0.84441,                  0.995,                0.99497,                0.99495,                0.95837,                  0.995,                0.99497,                0.99495,                0.96498,                0.31575,                 0.5231,                0.16175,                 0.8978,               5.96e-05,               5.96e-05,               5.96e-05
